"talk","judge","feature1","feature2"
1,15,5,5
1,11,5,4
1,16,5,5
1,10,5,5
2,7,3,4
2,12,4,1
2,9,5,4
2,3,3,1
3,4,1,2
3,13,1,2
3,5,1,2
3,8,4,3
4,1,1,5
4,18,1,4
4,14,4,4
4,17,1,4
5,2,3,3
5,10,3,1
5,6,5,4
5,14,5,1
6,12,4,1
6,17,1,2
6,18,1,3
6,7,5,4
7,16,5,3
7,13,1,4
7,3,5,1
7,8,5,1
8,9,5,4
8,18,1,1
8,4,4,5
8,2,2,5
9,6,2,1
9,9,4,4
9,15,3,3
9,1,1,3
10,2,1,1
10,11,1,4
10,16,5,5
10,12,4,1
11,5,1,1
11,1,3,3
11,13,1,2
11,14,1,1
12,6,3,5
12,7,3,5
12,5,1,1
12,8,3,3
13,15,3,3
13,12,4,1
13,13,1,3
13,3,3,1
14,17,1,5
14,3,4,1
14,4,5,5
14,9,5,4
15,10,4,5
15,16,5,5
15,7,5,5
15,4,4,4
16,15,3,5
16,14,1,1
16,8,5,2
16,11,3,5
17,5,1,4
17,17,1,2
17,7,5,5
17,1,3,2
18,10,3,4
18,8,1,3
18,6,2,4
18,9,3,3
19,3,5,4
19,17,1,5
19,18,5,2
19,12,5,4
20,11,1,2
20,1,5,2
20,10,3,2
20,2,4,1
21,13,5,3
21,11,5,4
21,15,5,5
21,4,5,5
22,5,1,4
22,18,1,4
22,6,5,5
22,2,3,1
23,16,2,1
23,18,1,3
23,12,1,1
23,14,5,1
24,11,3,2
24,16,2,2
24,7,3,5
24,8,1,3
25,4,1,2
25,5,1,2
25,14,1,1
25,9,4,2
26,3,3,1
26,10,4,2
26,2,3,1
26,18,1,1
27,10,4,3
27,6,2,5
27,17,1,4
27,1,3,5
28,15,5,1
28,13,1,4
28,6,5,5
28,16,3,5
29,9,4,4
29,2,3,1
29,14,5,3
29,11,5,4
30,13,1,2
30,1,1,5
30,17,1,3
30,5,1,4
31,9,4,2
31,15,5,5
31,7,5,5
31,18,5,3
32,12,1,1
32,3,2,1
32,17,1,4
32,4,4,3
33,8,1,1
33,2,4,1
33,11,1,1
33,7,3,4
34,10,3,1
34,14,1,1
34,5,1,1
34,15,5,1
35,11,1,4
35,6,5,5
35,12,4,5
35,8,5,4
36,12,4,5
36,16,5,1
36,3,4,1
36,4,5,5
37,1,1,3
37,17,1,3
37,3,2,1
37,6,4,2
38,15,3,4
38,4,4,2
38,16,2,5
38,18,1,1
39,8,5,5
39,13,1,4
39,10,4,3
39,9,5,4
40,13,1,2
40,9,4,4
40,7,5,5
40,5,1,3
41,1,3,5
41,2,1,2
41,16,5,4
41,14,1,3
42,5,1,4
42,17,1,3
42,4,2,4
42,2,2,5
43,8,5,3
43,13,1,2
43,15,3,5
43,10,4,2
44,1,3,4
44,3,4,1
44,2,1,1
44,12,4,1
45,13,1,2
45,7,3,2
45,8,3,3
45,18,1,1
46,11,4,1
46,6,5,4
46,5,1,4
46,14,4,1
47,11,3,4
47,13,1,3
47,6,3,4
47,16,5,5
48,17,1,3
48,7,3,5
48,4,2,2
48,18,1,2
49,12,4,5
49,1,1,3
49,14,4,5
49,3,3,4
50,4,2,4
50,9,4,4
50,16,4,5
50,18,1,2
51,15,5,5
51,10,5,3
51,7,3,5
51,6,5,4
52,8,5,3
52,15,5,5
52,12,4,4
52,11,3,5
53,2,1,1
53,1,1,5
53,3,5,1
53,9,5,3
54,10,2,3
54,14,1,3
54,5,1,1
54,17,1,4
